"","GO.ID","Term","Annotated","Significant","Expected","fisher","elim","FDR_fisher","FDR_elim"
"1","GO:0042587","glycogen granule",6,1,0,"0.0038","0.0038",0.114,0.114
"2","GO:0043034","costamere",19,1,0.01,"0.0119","0.0119",0.14175,0.14175
"3","GO:0043198","dendritic shaft",34,1,0.02,"0.0212","0.0212",0.14175,0.14175
"4","GO:0001725","stress fiber",48,1,0.03,"0.0298","0.0298",0.14175,0.14175
"5","GO:0097517","contractile actin filament bundle",48,1,0.03,"0.0298","0.0298",0.14175,0.14175
"6","GO:0032432","actin filament bundle",54,1,0.03,"0.0335","0.0335",0.14175,0.14175
"7","GO:0042641","actomyosin",60,1,0.04,"0.0371","0.0371",0.14175,0.14175
"8","GO:0043195","terminal bouton",61,1,0.04,"0.0378","0.0378",0.14175,0.14175
"9","GO:0005758","mitochondrial intermembrane space",73,1,0.05,"0.0450","0.0450",0.1494,0.1494
"10","GO:0031970","organelle envelope lumen",81,1,0.05,"0.0498","0.0498",0.1494,0.1494
"11","GO:0043679","axon terminus",109,1,0.07,"0.0665","0.0665",0.16675,0.174409090909091
"12","GO:0044306","neuron projection terminus",123,1,0.08,"0.0748","0.0748",0.172615384615385,0.174409090909091
"13","GO:0044424","intracellular part",13661,11,8.6,"0.0667","0.0853",0.16675,0.174409090909091
"14","GO:0005634","nucleus",6853,7,4.31,"0.0901","0.0901",0.174409090909091,0.174409090909091
"15","GO:0030027","lamellipodium",175,1,0.11,"0.1049","0.1049",0.174409090909091,0.174409090909091
"16","GO:0005622","intracellular",13974,11,8.8,"0.0856","0.1070",0.174409090909091,0.174409090909091
"17","GO:0005730","nucleolus",901,2,0.57,"0.1073","0.1073",0.174409090909091,0.174409090909091
"18","GO:0030017","sarcomere",184,1,0.12,"0.1100","0.1100",0.174409090909091,0.174409090909091
"19","GO:0044449","contractile fiber part",201,1,0.13,"0.1196","0.1196",0.174409090909091,0.174409090909091
"20","GO:0030016","myofibril",206,1,0.13,"0.1224","0.1224",0.174409090909091,0.174409090909091
"21","GO:0033267","axon part",214,1,0.13,"0.1268","0.1268",0.174409090909091,0.174409090909091
"22","GO:0043292","contractile fiber",216,1,0.14,"0.1279","0.1279",0.174409090909091,0.174409090909091
"23","GO:0005829","cytosol",4714,5,2.97,"0.1489","0.1489",0.176555555555556,0.176555555555556
"24","GO:0043231","intracellular membrane-bounded organelle",10892,9,6.86,"0.1531","0.1531",0.176555555555556,0.176555555555556
"25","GO:0031974","membrane-enclosed lumen",4807,5,3.03,"0.1589","0.1589",0.176555555555556,0.176555555555556
"26","GO:0043233","organelle lumen",4807,5,3.03,"0.1589","0.1589",0.176555555555556,0.176555555555556
"27","GO:0070013","intracellular organelle lumen",4807,5,3.03,"0.1589","0.1589",0.176555555555556,0.176555555555556
"28","GO:0098793","presynapse",299,1,0.19,"0.1730","0.1730",0.185357142857143,0.185357142857143
"29","GO:0031252","cell leading edge",352,1,0.22,"0.2006","0.2006",0.201,0.201
"30","GO:0031981","nuclear lumen",3794,4,2.39,"0.2010","0.2010",0.201,0.201
